 269       3.641e-02      -5.000e-02      -5.039e-03         -0.1899
 270       1.476e-02      -5.000e-02      -3.771e-03         -0.2273
 271       3.045e-03      -5.000e-02      -1.540e-03         -0.2378
 272       3.045e-03      -5.000e-02       2.178e-03          0.5254
 273       1.476e-02      -5.000e-02       6.815e-03         -0.3067
 274       3.641e-02      -5.000e-02       1.007e-02         -0.4231
 275       6.469e-02      -5.000e-02       1.074e-02         -0.3810
 276       9.531e-02      -5.000e-02       8.692e-03         -0.2472
 277       1.236e-01      -5.000e-02       5.089e-03         -0.0707
 278       1.452e-01      -5.000e-02       1.885e-03          0.0872
 279       1.570e-01      -5.000e-02       3.104e-04          0.1701
Strip 18
 280       1.570e-01      -1.667e-02      -1.095e-04          0.1732
 281       1.452e-01      -1.667e-02      -8.358e-04          0.1121
 282       1.236e-01      -1.667e-02      -2.410e-03          0.0083
 283       9.531e-02      -1.667e-02      -4.126e-03         -0.0846
 284       6.469e-02      -1.667e-02      -5.123e-03         -0.1449
 285       3.641e-02      -1.667e-02      -5.039e-03         -0.1898
 286       1.476e-02      -1.667e-02      -3.771e-03         -0.2270
 287       3.045e-03      -1.667e-02      -1.540e-03         -0.2368
 288       3.045e-03      -1.667e-02       2.178e-03          0.5247
 289       1.476e-02      -1.667e-02       6.815e-03         -0.3073
 290       3.641e-02      -1.667e-02       1.007e-02         -0.4234
 291       6.469e-02      -1.667e-02       1.074e-02         -0.3813
 292       9.531e-02      -1.667e-02       8.692e-03         -0.2474
 293       1.236e-01      -1.667e-02       5.089e-03         -0.0709
 294       1.452e-01      -1.667e-02       1.885e-03          0.0871
 295       1.570e-01      -1.667e-02       3.104e-04          0.1700
Strip 19
 296       1.570e-01       1.667e-02      -1.095e-04          0.1732
 297       1.452e-01       1.667e-02      -8.358e-04          0.1121
 298       1.236e-01       1.667e-02      -2.410e-03          0.0083
 299       9.531e-02       1.667e-02      -4.126e-03         -0.0846
 300       6.469e-02       1.667e-02      -5.123e-03         -0.1449
 301       3.641e-02       1.667e-02      -5.039e-03         -0.1898
 302       1.476e-02       1.667e-02      -3.771e-03         -0.2270
 303       3.045e-03       1.667e-02      -1.540e-03         -0.2368
 304       3.045e-03       1.667e-02       2.178e-03          0.5247
 305       1.476e-02       1.667e-02       6.815e-03         -0.3073
 306       3.641e-02       1.667e-02       1.007e-02         -0.4234
 307       6.469e-02       1.667e-02       1.074e-02         -0.3813
 308       9.531e-02       1.667e-02       8.692e-03         -0.2474
 309       1.236e-01       1.667e-02       5.089e-03         -0.0709
 310       1.452e-01       1.667e-02       1.885e-03          0.0871
 311       1.570e-01       1.667e-02       3.104e-04          0.1700
Strip 20
 312       1.570e-01       5.000e-02      -1.095e-04          0.1732
 313       1.452e-01       5.000e-02      -8.358e-04          0.1121
 314       1.236e-01       5.000e-02      -2.410e-03          0.0083
 315       9.531e-02       5.000e-02      -4.126e-03         -0.0846
 316       6.469e-02       5.000e-02      -5.123e-03         -0.1450
 317       3.641e-02       5.000e-02      -5.039e-03         -0.1899
 318       1.476e-02       5.000e-02      -3.771e-03         -0.2273
 319       3.045e-03       5.000e-02      -1.540e-03         -0.2378
 320       3.045e-03       5.000e-02       2.178e-03          0.5254
 321       1.476e-02       5.000e-02       6.815e-03         -0.3067
 322       3.641e-02       5.000e-02       1.007e-02         -0.4231
 323       6.469e-02       5.000e-02       1.074e-02         -0.3810
 324       9.531e-02       5.000e-02       8.692e-03         -0.2472
 325       1.236e-01       5.000e-02       5.089e-03         -0.0707
 326       1.452e-01       5.000e-02       1.885e-03          0.0872
 327       1.570e-01       5.000e-02       3.104e-04          0.1701
Strip 21
 328       1.570e-01       8.333e-02      -1.095e-04          0.1733
 329       1.452e-01       8.333e-02      -8.358e-04          0.1121
 330       1.236e-01       8.333e-02      -2.410e-03          0.0082
 331       9.531e-02       8.333e-02      -4.126e-03         -0.0847
 332       6.469e-02       8.333e-02      -5.123e-03         -0.1451
 333       3.641e-02       8.333e-02      -5.039e-03         -0.1902
 334       1.476e-02       8.333e-02      -3.771e-03         -0.2280
 335       3.045e-03       8.333e-02      -1.540e-03         -0.2399
 336       3.045e-03       8.333e-02       2.178e-03          0.5268
 337       1.476e-02       8.333e-02       6.815e-03         -0.3057
 338       3.641e-02       8.333e-02       1.007e-02         -0.4223
 339       6.469e-02       8.333e-02       1.074e-02         -0.3804
