 251       9.531e-02      -8.333e-02      -4.126e-03         -0.1394
 252       6.469e-02      -8.333e-02      -5.123e-03         -0.2398
 253       3.641e-02      -8.333e-02      -5.039e-03         -0.3554
 254       1.476e-02      -8.333e-02      -3.771e-03         -0.5696
 255       3.045e-03      -8.333e-02      -1.540e-03         -1.3684
 256       3.045e-03      -8.333e-02       2.178e-03          0.9430
 257       1.476e-02      -8.333e-02       6.815e-03          0.0370
 258       3.641e-02      -8.333e-02       1.007e-02         -0.2303
 259       6.469e-02      -8.333e-02       1.074e-02         -0.2671
 260       9.531e-02      -8.333e-02       8.692e-03         -0.1838
 261       1.236e-01      -8.333e-02       5.089e-03         -0.0394
 262       1.452e-01      -8.333e-02       1.885e-03          0.0987
 263       1.570e-01      -8.333e-02       3.104e-04          0.1745
Strip 17
 264       1.570e-01      -5.000e-02      -1.095e-04          0.1700
 265       1.452e-01      -5.000e-02      -8.358e-04          0.1017
 266       1.236e-01      -5.000e-02      -2.410e-03         -0.0204
 267       9.531e-02      -5.000e-02      -4.126e-03         -0.1399
 268       6.469e-02      -5.000e-02      -5.123e-03         -0.2404
 269       3.641e-02      -5.000e-02      -5.039e-03         -0.3562
 270       1.476e-02      -5.000e-02      -3.771e-03         -0.5710
 271       3.045e-03      -5.000e-02      -1.540e-03         -1.3729
 272       3.045e-03      -5.000e-02       2.178e-03          0.9437
 273       1.476e-02      -5.000e-02       6.815e-03          0.0380
 274       3.641e-02      -5.000e-02       1.007e-02         -0.2297
 275       6.469e-02      -5.000e-02       1.074e-02         -0.2667
 276       9.531e-02      -5.000e-02       8.692e-03         -0.1836
 277       1.236e-01      -5.000e-02       5.089e-03         -0.0393
 278       1.452e-01      -5.000e-02       1.885e-03          0.0986
 279       1.570e-01      -5.000e-02       3.104e-04          0.1744
Strip 18
 280       1.570e-01      -1.667e-02      -1.095e-04          0.1699
 281       1.452e-01      -1.667e-02      -8.358e-04          0.1016
 282       1.236e-01      -1.667e-02      -2.410e-03         -0.0205
 283       9.531e-02      -1.667e-02      -4.126e-03         -0.1401
 284       6.469e-02      -1.667e-02      -5.123e-03         -0.2407
 285       3.641e-02      -1.667e-02      -5.039e-03         -0.3567
 286       1.476e-02      -1.667e-02      -3.771e-03         -0.5717
 287       3.045e-03      -1.667e-02      -1.540e-03         -1.3751
 288       3.045e-03      -1.667e-02       2.178e-03          0.9441
 289       1.476e-02      -1.667e-02       6.815e-03          0.0385
 290       3.641e-02      -1.667e-02       1.007e-02         -0.2294
 291       6.469e-02      -1.667e-02       1.074e-02         -0.2666
 292       9.531e-02      -1.667e-02       8.692e-03         -0.1835
 293       1.236e-01      -1.667e-02       5.089e-03         -0.0393
 294       1.452e-01      -1.667e-02       1.885e-03          0.0986
 295       1.570e-01      -1.667e-02       3.104e-04          0.1744
Strip 19
 296       1.570e-01       1.667e-02      -1.095e-04          0.1699
 297       1.452e-01       1.667e-02      -8.358e-04          0.1016
 298       1.236e-01       1.667e-02      -2.410e-03         -0.0205
 299       9.531e-02       1.667e-02      -4.126e-03         -0.1401
 300       6.469e-02       1.667e-02      -5.123e-03         -0.2407
 301       3.641e-02       1.667e-02      -5.039e-03         -0.3567
 302       1.476e-02       1.667e-02      -3.771e-03         -0.5717
 303       3.045e-03       1.667e-02      -1.540e-03         -1.3751
 304       3.045e-03       1.667e-02       2.178e-03          0.9441
 305       1.476e-02       1.667e-02       6.815e-03          0.0385
 306       3.641e-02       1.667e-02       1.007e-02         -0.2294
 307       6.469e-02       1.667e-02       1.074e-02         -0.2666
 308       9.531e-02       1.667e-02       8.692e-03         -0.1835
 309       1.236e-01       1.667e-02       5.089e-03         -0.0393
 310       1.452e-01       1.667e-02       1.885e-03          0.0986
 311       1.570e-01       1.667e-02       3.104e-04          0.1744
Strip 20
 312       1.570e-01       5.000e-02      -1.095e-04          0.1700
 313       1.452e-01       5.000e-02      -8.358e-04          0.1017
 314       1.236e-01       5.000e-02      -2.410e-03         -0.0204
 315       9.531e-02       5.000e-02      -4.126e-03         -0.1399
 316       6.469e-02       5.000e-02      -5.123e-03         -0.2404
 317       3.641e-02       5.000e-02      -5.039e-03         -0.3562
 318       1.476e-02       5.000e-02      -3.771e-03         -0.5710
 319       3.045e-03       5.000e-02      -1.540e-03         -1.3729
 320       3.045e-03       5.000e-02       2.178e-03          0.9437
 321       1.476e-02       5.000e-02       6.815e-03          0.0380
 322       3.641e-02       5.000e-02       1.007e-02         -0.2297
 323       6.469e-02       5.000e-02       1.074e-02         -0.2667
 324       9.531e-02       5.000e-02       8.692e-03         -0.1836
 325       1.236e-01       5.000e-02       5.089e-03         -0.0393
 326       1.452e-01       5.000e-02       1.885e-03          0.0986
 327       1.570e-01       5.000e-02       3.104e-04          0.1744
Strip 21
 328       1.570e-01       8.333e-02      -1.095e-04          0.1701
 329       1.452e-01       8.333e-02      -8.358e-04          0.1019
 330       1.236e-01       8.333e-02      -2.410e-03         -0.0201
 331       9.531e-02       8.333e-02      -4.126e-03         -0.1394
 332       6.469e-02       8.333e-02      -5.123e-03         -0.2398
 333       3.641e-02       8.333e-02      -5.039e-03         -0.3554
 334       1.476e-02       8.333e-02      -3.771e-03         -0.5696
 335       3.045e-03       8.333e-02      -1.540e-03         -1.3684
 336       3.045e-03       8.333e-02       2.178e-03          0.9430
 337       1.476e-02       8.333e-02       6.815e-03          0.0370
 338       3.641e-02       8.333e-02       1.007e-02         -0.2303
 339       6.469e-02       8.333e-02       1.074e-02         -0.2671
 340       9.531e-02       8.333e-02       8.692e-03         -0.1838
 341       1.236e-01       8.333e-02       5.089e-03         -0.0394
 342       1.452e-01       8.333e-02       1.885e-03          0.0987
 343       1.570e-01       8.333e-02       3.104e-04          0.1745
Strip 22
 344       1.570e-01       1.167e-01      -1.095e-04          0.1703
 345       1.452e-01       1.167e-01      -8.358e-04          0.1022
 346       1.236e-01       1.167e-01      -2.410e-03         -0.0196
 347       9.531e-02       1.167e-01      -4.126e-03         -0.1387
 348       6.469e-02       1.167e-01      -5.123e-03         -0.2388
 349       3.641e-02       1.167e-01      -5.039e-03         -0.3540
 350       1.476e-02       1.167e-01      -3.771e-03         -0.5672
 351       3.045e-03       1.167e-01      -1.540e-03         -1.3614
 352       3.045e-03       1.167e-01       2.178e-03          0.9420
 353       1.476e-02       1.167e-01       6.815e-03          0.0356
 354       3.641e-02       1.167e-01       1.007e-02         -0.2311
 355       6.469e-02       1.167e-01       1.074e-02         -0.2675
 356       9.531e-02       1.167e-01       8.692e-03         -0.1840
 357       1.236e-01       1.167e-01       5.089e-03         -0.0395
 358       1.452e-01       1.167e-01       1.885e-03          0.0987
 359       1.570e-01       1.167e-01       3.104e-04          0.1746
Strip 23
 360       1.570e-01       1.500e-01      -1.095e-04          0.1705
 361       1.452e-01       1.500e-01      -8.358e-04          0.1026
 362       1.236e-01       1.500e-01      -2.410e-03         -0.0189
 363       9.531e-02       1.500e-01      -4.126e-03         -0.1376
 364       6.469e-02       1.500e-01      -5.123e-03         -0.2373
 365       3.641e-02       1.500e-01      -5.039e-03         -0.3520
 366       1.476e-02       1.500e-01      -3.771e-03         -0.5639
